task,expert,endpoint,method,seed,ranking,same_checkpoint_control,validation_score25,test_fixed_score25,test_ranked_score25,validation_metric,test_metric,validation_call,test_call,threshold,operator,nominal_budget
cub,cub,Qwen3.8,four_ratio,2026,probability_difference,True,0.9784999999999999,0.8094580600621333,0.8093890231273732,0.9841666666666666,0.8120469451156369,0.01,0.030031066620642043,1.199191856926518e-09,ge,0.01
cub,cub,Qwen3.8,four_ratio,2027,log_ratio,False,0.9529166666666667,0.7864342423196411,0.8006040731791509,0.9825,0.8111839834311356,0.01,0.043148084225060404,-3.265713691711426,ge,0.01
cub,cub,Qwen3.8,four_ratio,2027,probability_difference,True,0.97925,0.8102692440455644,0.8096479116327235,0.985,0.8127373144632378,0.01,0.019675526406627546,-3.3625896798993374e-14,ge,0.01
cub,cub,Qwen3.8,four_ratio,2028,log_ratio,False,0.9682499999999999,0.8025025888850535,0.8046254746289265,0.9858333333333333,0.8129099068001381,0.01,0.016396272005522954,-1.5082664489746094,ge,0.01
cub,cub,Qwen3.8,four_ratio,2028,probability_difference,True,0.9801666666666666,0.810631687953055,0.8093545046599931,0.9858333333333333,0.8127373144632378,0.01,0.012426648256817397,-6.139429649344372e-14,ge,0.01
cub,cub,Qwen3.8,four_ratio,2029,log_ratio,False,0.9641666666666666,0.8019157749395928,0.8049016223679668,0.9841666666666666,0.8139454608215395,0.01,0.009665170866413532,2.535764694213867,ge,0.01
cub,cub,Qwen3.8,four_ratio,2029,probability_difference,True,0.978,0.8123748705557474,0.8117017604418364,0.9841666666666666,0.8139454608215395,0.01,0.01812219537452537,7.519151100365828e-12,ge,0.01
cub,cub,Qwen3.8,four_ratio,2030,log_ratio,False,0.9615,0.7994649637556093,0.8044183638246463,0.9833333333333333,0.8130824991370383,0.01,0.021401449775629963,-3.623467445373535,ge,0.01
cub,cub,Qwen3.8,four_ratio,2030,probability_difference,True,0.9794166666666667,0.8099240593717639,0.8088367276492924,0.9858333333333333,0.8129099068001381,0.01,0.01156368657231619,-5.734394841703247e-15,ge,0.01
cub,cub,Qwen3.8,gain,2026,regression,False,0.982,0.8122022782188472,0.8107697618225751,0.985,0.8141180531584398,0.01,0.00638591646530894,0.10205373167991638,ge,0.01
cub,cub,Qwen3.8,gain,2027,regression,False,0.98125,0.8128926475664481,0.8124093890231274,0.9858333333333333,0.8146358301691405,0.01,0.01725923369002416,0.08088664710521698,ge,0.01
cub,cub,Qwen3.8,gain,2028,regression,False,0.9813333333333334,0.8124439074905074,0.8104590956161546,0.9858333333333333,0.81429064549534,0.01,0.005350362443907491,0.16180923581123352,ge,0.01
cub,cub,Qwen3.8,gain,2029,regression,False,0.9825,0.812789092164308,0.8119261304798067,0.9858333333333333,0.8141180531584398,0.01,0.00638591646530894,0.052189622074365616,ge,0.01
cub,cub,Qwen3.8,gain,2030,regression,False,0.9816666666666667,0.8122540559199173,0.8119261304798067,0.985,0.8139454608215395,0.01,0.020193303417328272,0.061363235116004944,ge,0.01
cub,cub,Qwen3.8,route,2026,probability,False,0.9196666666666666,0.7508802209181913,0.8007766655160511,0.98,0.8123921297894373,0.01,0.024680704176734552,0.06744378060102463,ge,0.01
cub,cub,Qwen3.8,route,2027,probability,False,0.9233333333333333,0.7612357611322058,0.8025198481187436,0.9791666666666666,0.8125647221263376,0.01,0.02347255781843286,0.09797634929418564,ge,0.01
cub,cub,Qwen3.8,route,2028,probability,False,0.92025,0.7445288229202625,0.7988263721090784,0.9791666666666666,0.813600276147739,0.01,0.021574042112530202,0.0361652746796608,ge,0.01
cub,cub,Qwen3.8,route,2029,probability,False,0.9214166666666667,0.7548153261995167,0.8030548843631343,0.98,0.8129099068001381,0.01,0.025025888850535038,0.05318247154355049,ge,0.01
cub,cub,Qwen3.8,route,2030,probability,False,0.9195833333333333,0.7459095616154643,0.7959095616154642,0.9783333333333334,0.8120469451156369,0.01,0.020193303417328272,0.11371302604675293,ge,0.01
cub,glsim,MiniCPM,error,2026,probability,False,0.9094166666666667,0.7611322057300656,0.8433724542630308,0.9875,0.8828098032447359,0.01,0.04263030721435968,0.0131531385704875,ge,0.01
cub,glsim,MiniCPM,error,2027,probability,False,0.9126666666666666,0.7677252329996549,0.8445115636865723,0.9866666666666667,0.8878149810148429,0.01,0.03779772178115292,0.018917348235845566,ge,0.01
cub,glsim,MiniCPM,error,2028,probability,False,0.9130833333333334,0.7650845702450811,0.845685191577494,0.9866666666666667,0.8872972040041422,0.01,0.039868829823955815,0.007665780372917652,ge,0.01
cub,glsim,MiniCPM,error,2029,probability,False,0.9095833333333333,0.7584742837418019,0.8475319295823266,0.9866666666666667,0.8891957197100449,0.01,0.03589920607525026,0.13308997452259064,ge,0.01
