task,expert,endpoint,method,validation_score25_mean,validation_score25_std,test_fixed_score25_mean,test_fixed_score25_std,test_ranked_score25_mean,test_ranked_score25_std,validation_metric_mean,validation_metric_std,test_metric_mean,test_metric_std,validation_call_mean,validation_call_std,test_call_mean,test_call_std
grefcoco,groundingdino,Qwen3.8,route,0.6464755077658303,0.0020374064926579048,0.4191600260896691,0.003996773503553001,0.3745648413351105,0.0006566084717211617,0.8095860566448803,0.0015797933077241991,0.7482800669256728,0.0008087347957697223,0.7599690772366294,0.019994383855045934,0.8708447948274396,0.009520603360520385
grefcoco,instancevg,MiniCPM,error,0.7575753742357159,0.0025670440546817206,0.6707773019879193,0.0019246865481410181,0.6760292658026827,0.00037120942583228534,0.7623163960924872,0.005124828894220894,0.670192553100984,0.007641979616213665,0.16397498067327287,0.05224783155686308,0.23946913195133712,0.05264343975067549
grefcoco,instancevg,MiniCPM,four_difference,0.75516761543327,0.00038324296992454167,0.6789513087372032,0.00107169487051,0.6784754558602502,0.0009978758068675264,0.7565394616628013,0.0005053251250895244,0.6802540906899583,0.0012240819123290802,0.08195937873357229,0.04968689558802639,0.1512350055298755,0.050698419588036114
grefcoco,instancevg,MiniCPM,four_ratio,0.7599339377327993,0.0029760483711252735,0.6762561324901454,0.001277555466059089,0.6778685874712872,0.000527070018222977,0.7671375360179915,0.005231090837092384,0.671258826532059,0.0030551813437642737,0.21197554290533419,0.008374769277990949,0.27478093185491875,0.01505522661579686
grefcoco,instancevg,MiniCPM,gain,0.7532785157073583,0.001429301208093621,0.677202733743584,0.0008135309205015226,0.6768822845475427,0.0007797330613034966,0.7548808770820156,0.0013485514263493986,0.6782916938434053,0.0009934730945914698,0.05996204933586339,0.03937905952946572,0.11832232084621275,0.0368431354195028
grefcoco,instancevg,MiniCPM,route,0.7677700470869351,0.00470575293954817,0.670389359952358,0.0040411039649331385,0.6744820349941866,0.0020093242842834365,0.7760910815939279,0.008715872080531073,0.6654396959986388,0.012248907138640627,0.18396233045189403,0.03910916588884175,0.25921787709497207,0.0625546079947896
grefcoco,instancevg,Qwen3.8,error,0.7835561177876167,0.0028567720730928994,0.7282692907580184,0.0009976928491790967,0.7136675835861952,0.0003243070505697559,0.8261297350481411,0.004737712191726519,0.7569066727164449,0.0011860431161500352,0.4899571298053271,0.10367254926841935,0.6187108300484928,0.11032541276487592
grefcoco,instancevg,Qwen3.8,four_difference,0.7676983624991215,0.0017218313848783413,0.7132609250489181,0.004416137043455413,0.7061696395655502,0.0023474909898597036,0.8083069787054606,0.0006490828527103093,0.7475030485211128,0.0016083702167531654,0.9679527725068523,0.008378985030784162,0.9685052321129796,0.00781786913048959
grefcoco,instancevg,Qwen3.8,four_ratio,0.782085880947361,0.002500229406303351,0.7288443978107365,0.0009825121903040395,0.7136772254204123,0.0005213886555517868,0.8248366013071895,0.008700075636824258,0.7599466863284462,0.0027812863554784835,0.4839412467495959,0.02791311081846456,0.5978107364659841,0.029397396446080807
grefcoco,instancevg,Qwen3.8,gain,0.7688368824232201,0.002960871357556939,0.7126971613305731,0.0060107898302351,0.7036780761704904,0.004089673699329882,0.8065359477124183,0.0009195545566826218,0.7466806567790603,0.00204016498940818,0.96996275212594,0.02915560864754022,0.9692652355159799,0.030481559938283696
grefcoco,instancevg,Qwen3.8,route,0.7877250685220325,0.0021416863123372054,0.7251901426424298,0.00426943454547805,0.7128888636814792,0.0014029711714627744,0.8295593506219692,0.00411159224312457,0.7575192127725945,0.002329495328277004,0.3879682338885375,0.014823507124941973,0.4996341774664663,0.02131782709435361
nlvr2,nlvr2,MiniCPM,error,0.8357146949298195,0.0004079537160868926,0.8414091985362704,0.0012511877563891084,0.8410059553705963,0.0009410935450967526,0.8997708393010599,0.0002935247999415425,0.907885484681065,0.0005925471140722553,0.8899169292466343,0.046325469934854695,0.8867905575087895,0.04527361464443895
nlvr2,nlvr2,MiniCPM,four_difference,0.8364508736751646,0.0002926499103652411,0.8425256511444358,0.0011731132163255802,0.8416545885054173,0.0009248230676831484,0.8987109710684618,0.0005104133394788471,0.9070962186984287,0.0007583283398502093,0.9899742194213692,0.0,0.9904427064648059,0.0008793578933689391
